"stock1","stock2","dead1","dead2"
0,112,4,50
0,0,10,38
0,0,16,10
0,100,24,50
0,0,16,3
0,0,16,5
0,163,17,50
0,0,10,8
0,0,12,6
0,0,4,5
0,0,3,37
0,99,2,50
132,0,50,11
0,84,10,50
0,0,18,40
0,92,8,50
103,0,50,3
0,0,3,23
0,0,2,17
85,67,50,50
0,0,8,3
0,122,5,50
0,0,14,12
305,0,50,10
0,125,35,50
0,428,30,50
137,77,50,50
0,0,6,9
0,0,12,10
0,0,6,45
0,0,26,6
0,0,2,13
0,142,24,50
0,0,32,28
0,0,26,19
0,0,25,31
285,0,50,12
0,106,26,50
0,0,35,2
0,0,4,8
0,0,15,29
99,312,50,50
0,0,5,36
0,0,6,5
0,0,8,8
108,0,50,25
0,0,8,36
0,248,13,50
0,0,29,25
0,0,8,2
0,78,2,50
220,330,50,50
0,0,4,7
313,0,50,19
0,0,14,15
0,359,11,50
0,0,19,9
0,0,6,24
271,0,50,2
0,0,2,8
0,0,3,6
0,0,47,4
182,0,50,8
153,0,50,2
0,0,10,2
167,0,50,2
0,198,5,50
219,222,50,50
0,300,7,50
0,0,18,18
0,0,35,4
0,0,47,10
0,0,4,3
0,0,12,13
0,0,6,3
0,0,9,9
0,0,14,3
0,0,31,2
0,0,6,29
147,143,50,50
314,0,50,42
0,0,2,8
0,136,33,50
0,0,3,26
0,0,10,3
0,0,3,8
0,0,2,3
0,95,8,50
0,0,5,3
0,0,6,4
0,130,2,50
0,0,9,3
0,159,3,50
0,0,8,2
0,0,3,7
0,0,47,4
346,0,50,5
181,0,50,18
0,0,33,4
0,0,4,5
0,0,34,25
0,0,2,11
0,175,4,50
0,266,8,50
187,0,50,2
188,0,50,4
0,0,2,10
0,0,8,3
0,0,6,2
0,0,10,4
0,0,4,9
0,76,14,50
139,0,50,23
0,0,3,2
0,156,15,50
0,0,7,4
0,0,2,32
0,84,2,50
0,213,3,50
0,178,9,50
0,184,9,50
0,0,6,21
92,0,50,42
0,0,2,4
0,0,5,15
189,0,50,4
360,0,50,2
0,0,16,2
0,94,6,50
107,0,50,19
198,0,50,16
0,0,31,13
98,0,50,7
128,0,50,4
0,0,4,20
92,0,50,2
0,0,4,16
0,0,8,8
0,110,7,50
0,111,11,50
213,0,50,2
187,0,50,9
0,0,6,45
0,0,2,11
0,389,3,50
0,141,44,50
0,0,45,2
179,0,50,15
0,0,6,19
0,0,2,4
277,0,50,3
0,0,6,9
0,0,6,26
0,0,4,26
103,0,50,26
0,202,10,50
0,0,5,20
0,0,43,4
0,0,3,25
294,0,50,2
0,108,7,50
0,246,2,50
0,136,4,50
0,0,14,6
88,0,50,6
0,200,38,50
0,177,42,50
0,0,4,5
0,0,6,5
86,0,50,2
0,87,5,50
203,0,50,3
0,0,3,2
221,0,50,10
151,0,50,5
0,156,11,50
0,77,9,50
0,0,26,22
0,0,4,3
0,0,3,6
0,0,2,5
0,0,36,2
108,0,50,5
0,0,12,5
65,0,50,4
0,0,22,3
218,0,50,38
0,0,6,21
0,130,7,50
81,0,50,2
0,0,5,2
0,62,13,50
0,0,31,19
0,0,4,4
0,0,12,8
0,0,17,3
0,0,2,8
0,0,4,5
0,0,2,6
117,0,50,23
121,0,50,29
98,0,50,50
0,0,38,10
73,0,50,42
0,0,2,2
0,0,2,6
0,0,8,4
0,87,3,50
149,0,50,13
0,357,3,50
0,0,50,8
0,0,3,2
0,0,28,4
0,144,2,50
0,0,7,13
253,118,50,50
143,0,50,2
0,0,2,23
119,0,50,7
0,0,2,4
0,0,5,18
85,0,50,7
0,0,38,13
0,103,8,50
0,0,28,5
182,0,50,3
0,359,9,50
0,0,4,2
0,0,3,2
261,0,50,5
0,0,8,45
0,0,2,3
0,0,12,13
262,384,50,50
0,81,6,50
0,0,12,4
0,0,11,10
0,0,9,3
137,158,50,50
0,0,7,36
195,0,50,4
122,140,50,50
0,298,45,50
0,0,35,5
0,148,3,50
0,0,13,36
204,0,50,21
0,0,18,7
0,0,19,11
101,0,50,5
0,116,6,50
0,175,6,50
0,80,2,50
0,0,12,2
0,0,8,20
218,240,50,50
0,0,16,4
0,116,4,50
0,0,3,4
0,0,16,34
0,0,19,6
0,0,5,2
0,0,2,2
0,112,40,50
0,0,5,22
0,0,16,10
0,0,17,14
79,0,50,10
0,0,9,7
0,0,7,13
