"stock1","stock2","dead1","dead2"
108,0,50,3
0,0,22,21
182,111,50,50
0,0,5,5
112,157,50,50
82,67,50,50
0,0,4,5
0,0,4,8
71,0,50,25
0,0,5,6
0,0,4,15
97,0,50,44
0,0,7,28
0,0,18,19
0,0,3,7
0,0,12,12
0,0,3,13
131,0,50,11
0,0,9,3
0,0,4,4
110,98,50,50
0,0,8,5
64,77,50,50
107,0,50,9
148,0,50,13
0,0,8,6
0,0,3,16
0,0,7,4
0,0,6,11
0,0,21,22
0,0,18,30
0,115,35,50
0,0,10,8
0,0,3,24
86,223,50,50
0,0,26,9
83,0,50,14
0,0,39,36
0,0,16,7
184,0,50,2
0,0,5,2
0,0,30,24
0,0,13,12
0,0,10,11
0,0,4,18
0,0,44,27
0,0,43,7
0,0,35,31
0,0,12,14
0,0,15,4
215,139,50,50
0,0,2,4
0,0,24,14
0,0,31,20
92,0,50,43
0,0,13,13
98,80,50,50
0,0,13,13
113,164,50,50
0,0,5,5
0,0,2,9
130,0,50,20
91,67,50,50
0,0,8,4
0,0,15,3
105,146,50,50
0,0,4,6
0,0,3,5
110,0,50,18
0,0,3,8
0,0,9,7
152,366,50,50
153,0,50,34
83,175,50,50
139,67,50,50
0,0,8,31
96,0,50,6
0,0,5,5
0,0,22,4
0,0,16,24
0,0,4,2
0,0,38,28
297,217,50,50
123,149,50,50
246,268,50,50
0,0,37,40
0,0,4,4
0,0,2,4
0,0,7,3
0,0,27,31
189,0,50,11
0,0,18,13
95,116,50,50
64,68,50,50
0,0,5,5
0,0,9,7
0,0,39,38
111,0,50,36
93,117,50,50
0,0,12,13
241,80,50,50
167,0,50,5
73,197,50,50
90,169,50,50
0,0,2,4
0,0,23,23
0,0,19,17
0,0,9,26
78,119,50,50
92,131,50,50
0,0,6,4
128,0,50,8
0,206,14,50
0,0,25,5
0,0,4,15
169,0,50,35
72,140,50,50
255,0,50,19
0,190,8,50
187,150,50,50
155,0,50,16
0,0,5,8
284,0,50,5
0,0,9,4
0,0,26,25
0,0,35,2
0,0,8,5
0,0,50,42
156,97,50,50
94,0,50,31
0,0,8,9
0,0,14,3
81,123,50,50
0,0,12,11
0,0,17,13
0,0,3,2
0,0,15,17
0,0,3,14
103,162,50,50
0,0,12,14
0,0,44,40
0,0,4,3
0,0,39,14
0,0,14,11
0,77,45,50
0,0,11,7
0,0,15,15
0,0,38,4
120,155,50,50
0,0,25,5
0,0,2,49
0,0,16,3
219,0,50,4
0,199,17,50
0,0,13,23
0,0,2,5
0,0,23,2
0,0,5,3
0,0,7,7
0,0,4,3
0,0,17,14
0,0,45,25
168,0,50,15
235,0,50,23
155,0,50,20
0,0,16,12
0,0,8,2
0,0,3,4
0,0,2,26
0,0,10,9
115,0,50,16
0,0,5,5
0,0,21,29
201,0,50,41
171,0,50,37
0,0,3,4
159,0,50,14
141,267,50,50
191,0,50,19
0,0,23,29
96,0,50,41
0,0,5,7
108,0,50,4
0,0,25,24
0,0,9,34
0,0,14,2
0,0,2,9
0,0,13,13
0,124,36,50
0,0,7,14
169,103,50,50
81,93,50,50
135,104,50,50
0,0,3,9
0,0,3,4
124,93,50,50
0,0,37,3
0,0,5,4
0,73,48,50
0,0,3,3
0,0,22,24
149,0,50,4
71,82,50,50
108,0,50,42
0,176,6,50
141,0,50,3
0,0,19,10
0,0,16,13
0,0,35,10
0,0,19,19
0,0,4,12
0,0,7,7
0,0,13,27
0,0,11,2
0,0,29,50
77,0,50,48
85,141,50,50
124,0,50,4
0,0,23,36
0,0,14,13
73,0,50,49
0,0,8,27
197,179,50,50
72,0,50,34
0,0,41,43
0,0,21,30
0,0,49,14
0,0,2,3
0,0,14,5
125,100,50,50
0,0,18,13
0,0,2,8
92,0,50,30
0,168,13,50
113,0,50,17
0,0,4,2
98,0,50,12
166,0,50,12
74,99,50,50
0,0,14,7
0,0,8,8
221,80,50,50
0,79,13,50
0,0,18,25
0,0,4,6
0,0,26,19
195,0,50,16
0,0,8,5
0,0,33,24
0,0,45,40
0,0,5,23
182,161,50,50
0,72,44,50
0,0,5,3
0,0,3,4
74,202,50,50
0,0,15,11
274,0,50,20
0,0,9,2
0,0,16,19
0,0,6,11
0,0,15,15
0,119,5,50
0,0,2,7
0,0,5,38
0,0,2,11
0,0,20,12
78,104,50,50
0,94,2,50
72,81,50,50
64,72,50,50
0,0,28,8
78,90,50,50
177,0,50,3
0,0,3,3
0,0,6,4
0,0,3,2
0,0,6,8
121,148,50,50
66,223,50,50
180,0,50,11
81,89,50,50
119,0,50,37
0,0,11,6
0,0,2,23
0,0,20,24
0,0,48,5
118,370,50,50
0,0,43,2
0,0,29,33
0,0,7,8
114,280,50,50
133,0,50,40
165,109,50,50
209,0,50,3
0,0,44,9
105,95,50,50
0,0,4,7
0,0,22,16
0,0,4,16
0,0,21,10
0,0,2,3
0,0,7,7
120,189,50,50
0,95,14,50
80,93,50,50
0,0,4,2
158,119,50,50
0,0,5,9
0,0,47,5
0,0,3,2
0,0,3,14
0,0,13,4
0,0,15,6
0,0,29,5
0,0,8,4
0,0,8,3
96,0,50,8
0,159,2,50
0,0,2,44
0,0,30,27
0,0,3,2
0,0,11,6
0,0,10,2
0,0,42,49
69,227,50,50
0,0,9,6
0,0,45,45
0,0,8,12
0,0,5,5
104,74,50,50
0,0,3,12
0,0,11,20
164,65,50,50
0,0,17,25
0,0,34,28
0,0,9,48
0,0,8,6
0,0,36,9
0,0,4,7
106,0,50,38
134,120,50,50
0,0,48,17
0,0,38,20
0,0,34,37
0,0,2,6
0,0,47,43
0,0,19,21
67,0,50,48
0,0,2,6
0,0,6,26
0,0,9,11
0,116,4,50
0,0,6,3
0,0,10,2
0,0,10,15
83,0,50,6
211,0,50,9
109,136,50,50
0,0,4,2
96,176,50,50
0,0,17,4
237,128,50,50
100,0,50,12
0,0,2,13
150,0,50,39
76,0,50,5
174,0,50,47
45,0,50,20
0,0,23,6
0,0,5,4
0,0,46,34
70,108,50,50
222,178,50,50
107,121,50,50
0,0,15,8
131,142,50,50
0,0,6,2
190,0,50,2
148,0,50,23
180,220,50,50
0,0,3,3
64,107,50,50
0,0,12,17
0,0,22,17
64,91,50,50
212,0,50,34
0,0,3,10
0,0,22,45
0,0,8,6
0,0,3,30
0,0,14,16
0,0,21,9
0,0,26,2
0,0,27,24
99,99,50,50
89,159,50,50
0,0,7,6
0,165,9,50
94,67,50,50
0,0,17,2
0,0,11,10
103,0,50,48
65,0,50,26
0,0,4,7
0,0,31,30
0,0,22,15
0,0,24,27
0,0,11,3
98,0,50,38
86,0,50,42
76,64,50,50
0,0,37,41
145,0,50,18
82,0,50,22
0,0,2,46
64,88,50,50
0,0,24,3
149,142,50,50
118,0,50,42
158,0,50,49
225,124,50,50
118,198,50,50
0,0,19,9
182,171,50,50
0,0,21,27
